['NO: ', 'qqvideo\\150.jpg', ' number: ', array(149.39136, dtype=float32)]
['NO: ', 'qqvideo\\155.jpg', ' number: ', array(140.84314, dtype=float32)]
['NO: ', 'qqvideo\\160.jpg', ' number: ', array(148.59158, dtype=float32)]
['NO: ', 'qqvideo\\165.jpg', ' number: ', array(148.00804, dtype=float32)]
['NO: ', 'qqvideo\\170.jpg', ' number: ', array(127.24265, dtype=float32)]
['NO: ', 'qqvideo\\175.jpg', ' number: ', array(139.40079, dtype=float32)]
['NO: ', 'qqvideo\\180.jpg', ' number: ', array(158.7323, dtype=float32)]
['NO: ', 'qqvideo\\185.jpg', ' number: ', array(146.93402, dtype=float32)]
['NO: ', 'qqvideo\\190.jpg', ' number: ', array(146.10893, dtype=float32)]
['NO: ', 'qqvideo\\195.jpg', ' number: ', array(145.39345, dtype=float32)]
['NO: ', 'qqvideo\\20.jpg', ' number: ', array(95.80748, dtype=float32)]
['NO: ', 'qqvideo\\200.jpg', ' number: ', array(145.01126, dtype=float32)]
['NO: ', 'qqvideo\\205.jpg', ' number: ', array(129.0676, dtype=float32)]
['NO: ', 'qqvideo\\210.jpg', ' number: ', array(119.52428, dtype=float32)]
['NO: ', 'qqvideo\\215.jpg', ' number: ', array(113.27588, dtype=float32)]
['NO: ', 'qqvideo\\220.jpg', ' number: ', array(111.26338, dtype=float32)]
['NO: ', 'qqvideo\\225.jpg', ' number: ', array(102.16514, dtype=float32)]
['NO: ', 'qqvideo\\230.jpg', ' number: ', array(124.42615, dtype=float32)]
['NO: ', 'qqvideo\\235.jpg', ' number: ', array(137.0607, dtype=float32)]
['NO: ', 'qqvideo\\240.jpg', ' number: ', array(133.53424, dtype=float32)]
['NO: ', 'qqvideo\\245.jpg', ' number: ', array(114.095985, dtype=float32)]
['NO: ', 'qqvideo\\25.jpg', ' number: ', array(83.66884, dtype=float32)]
['NO: ', 'qqvideo\\250.jpg', ' number: ', array(105.309204, dtype=float32)]
['NO: ', 'qqvideo\\255.jpg', ' number: ', array(99.9577, dtype=float32)]
['NO: ', 'qqvideo\\260.jpg', ' number: ', array(120.98906, dtype=float32)]
['NO: ', 'qqvideo\\265.jpg', ' number: ', array(122.0918, dtype=float32)]
['NO: ', 'qqvideo\\270.jpg', ' number: ', array(108.95987, dtype=float32)]
['NO: ', 'qqvideo\\275.jpg', ' number: ', array(108.076096, dtype=float32)]
['NO: ', 'qqvideo\\280.jpg', ' number: ', array(103.81584, dtype=float32)]
